shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled,clusters
11-28-532-04307-569025,0,0,0,Holdout,NA,33.96259140345858,0.6969969152374746,JAINAD ADILABAD
11-28-532-04307-569026,1,1,1,Holdout,NA,64.44254527569804,1.3225214393575038,JAINAD ADILABAD
11-28-532-04307-569028,0,0,0,Holdout,NA,6.5867452961015305,0.13517640919385776,JAINAD ADILABAD
11-28-532-04307-569029,1,1,1,Holdout,NA,47.83759597215845,0.9817465466305856,JAINAD ADILABAD
11-28-532-04307-569030,1,1,1,Holdout,NA,58.12209402410311,1.192810046815712,JAINAD ADILABAD
11-28-532-04307-569031,0,0,0,Holdout,NA,20.093209011060097,0.41236266489678186,JAINAD ADILABAD
11-28-532-04307-569033,0,0,0,Holdout,NA,42.066078426764605,0.8633006401451101,JAINAD ADILABAD
11-28-532-04307-569034,1,1,1,Holdout,NA,66.69498261281419,1.368747060279227,JAINAD ADILABAD
11-28-532-04307-569035,0,0,1,Holdout,NA,57.10380111648709,1.1719121416180451,JAINAD ADILABAD
11-28-532-04307-569036,0,0,0,Holdout,NA,-14.770490437961149,-0.3031272304726177,JAINAD ADILABAD
11-28-532-04307-569038,0,0,0,Holdout,NA,48.468540269956506,0.9946950941671302,JAINAD ADILABAD
11-28-532-04307-569040,1,1,1,Holdout,NA,-3.986912281466556,-0.08182136423257753,JAINAD ADILABAD
11-28-532-04307-569041,0,1,1,Holdout,NA,23.1385510089371,0.47486066315457215,JAINAD ADILABAD
11-28-532-04307-569042,0,0,0,Holdout,NA,27.289092413898548,0.5600401043066671,JAINAD ADILABAD
11-28-532-04307-569044,1,0,0,Holdout,NA,67.03360770216257,1.3756964900177897,JAINAD ADILABAD
11-28-532-04307-569045,1,0,0,Holdout,NA,37.7264958290853,0.774241603157353,JAINAD ADILABAD
11-28-532-04307-569046,0,0,0,Holdout,NA,-2.619768818857266,-0.05376417728809966,JAINAD ADILABAD
11-28-532-04307-569047,0,0,0,Holdout,NA,26.837556084166145,0.5507734548569114,JAINAD ADILABAD
11-28-532-04307-569048,0,0,1,Holdout,NA,55.84654133652368,1.1461100413637813,JAINAD ADILABAD
11-28-532-04307-569049,0,0,0,Holdout,NA,71.72039524737278,1.4718810367909865,JAINAD ADILABAD
11-28-532-04307-569050,0,0,0,Holdout,NA,70.56512932247827,1.448172104325708,JAINAD ADILABAD
11-28-532-04307-569052,0,0,0,Holdout,NA,71.07715706290857,1.4586801880981255,JAINAD ADILABAD
11-28-532-04307-569054,0,1,1,Holdout,NA,52.277423389474194,1.0728628568465577,JAINAD ADILABAD
11-28-532-04307-569056,0,0,0,Holdout,NA,47.28955571737111,0.9704993964212576,JAINAD ADILABAD
11-28-532-04307-569057,0,0,1,Holdout,NA,53.85858740440214,1.105312278264296,JAINAD ADILABAD
11-28-532-04307-569058,0,0,0,Holdout,NA,58.2233761680032,1.194888608519923,JAINAD ADILABAD
11-28-532-04307-569059,0,0,1,Holdout,NA,28.431289015293025,0.5834808217215816,JAINAD ADILABAD
11-28-532-04307-569060,0,1,1,Holdout,NA,30.594552107846003,0.6278763651724549,JAINAD ADILABAD
11-28-532-04307-569061,0,1,1,Holdout,NA,30.350787138065037,0.6228737012131027,JAINAD ADILABAD
11-28-532-04307-569062,0,0,0,Holdout,NA,-9.235792106546564,-0.18954144374807716,JAINAD ADILABAD
11-28-532-04307-569063,0,0,0,Holdout,NA,40.80898865688473,0.8375020289209492,JAINAD ADILABAD
11-28-532-04307-569064,0,0,0,Holdout,NA,58.51181956532602,1.2008081850259182,JAINAD ADILABAD
11-28-532-04307-569065,1,0,1,Holdout,NA,10.14478884103784,0.20819631941333147,JAINAD ADILABAD
11-28-532-04307-569066,0,0,1,Holdout,NA,30.79755933374128,0.6320425787731496,JAINAD ADILABAD
11-28-532-04307-569067,0,1,1,Holdout,NA,24.350384551502778,0.4997305039425034,JAINAD ADILABAD
11-28-532-04307-569068,0,0,0,Holdout,NA,55.87793732655038,1.1467543652299867,JAINAD ADILABAD
11-28-532-04307-569069,0,0,0,Holdout,NA,24.489180993331317,0.5025789524207482,JAINAD ADILABAD
11-28-532-04307-569070,1,0,0,Holdout,NA,14.42907530582675,0.2961205421111155,JAINAD ADILABAD
11-28-532-04307-569071,1,1,1,Holdout,NA,35.72679427762667,0.7332027496669116,JAINAD ADILABAD
11-28-532-04307-569072,1,0,1,Holdout,NA,-29.828477468837303,-0.6121546066679979,JAINAD ADILABAD
11-28-532-04308-569074,1,0,0,Holdout,NA,73.08370017922714,1.4998594475295073,BELA ADILABAD
11-28-532-04308-569075,1,1,1,Holdout,NA,45.34075560554981,0.930505167175972,BELA ADILABAD
11-28-532-04308-569076,0,1,1,Holdout,NA,58.93394957883827,1.209471343668672,BELA ADILABAD
11-28-532-04308-569077,1,1,1,Holdout,NA,61.72925888322051,1.2668380486748931,BELA ADILABAD
11-28-532-04308-569078,0,0,0,Holdout,NA,35.1060486085545,0.7204635033782358,BELA ADILABAD
11-28-532-04308-569079,0,1,1,Holdout,NA,38.44655028590141,0.7890189129698402,BELA ADILABAD
11-28-532-04308-569080,1,0,0,Holdout,NA,55.446518988492805,1.1379005870470775,BELA ADILABAD
11-28-532-04308-569082,1,1,1,Holdout,NA,9.25911299895274,0.190020046510587,BELA ADILABAD
11-28-532-04308-569084,0,0,0,Holdout,NA,14.904145345266553,0.3058701618641467,BELA ADILABAD
11-28-532-04308-569085,1,1,1,Holdout,NA,67.31872157438617,1.3815477363808992,BELA ADILABAD
11-28-532-04308-569086,0,0,0,Holdout,NA,53.43451754270421,1.0966093091081042,BELA ADILABAD
11-28-532-04308-569087,1,0,1,Holdout,NA,65.16040228608574,1.3372536520993992,BELA ADILABAD
11-28-532-04308-569088,0,0,0,Holdout,NA,34.492521914867716,0.7078724084339322,BELA ADILABAD
11-28-532-04308-569089,0,0,0,Holdout,NA,52.18962595589704,1.0710610349642966,BELA ADILABAD
11-28-532-04308-569091,1,1,1,Holdout,NA,26.257990538726887,0.5388793272106932,BELA ADILABAD
11-28-532-04308-569092,0,0,1,Holdout,NA,55.419900423350285,1.137354307831455,BELA ADILABAD
11-28-532-04308-569093,1,0,0,Holdout,NA,9.126685549355104,0.1873023056066076,BELA ADILABAD
11-28-532-04308-569096,1,0,1,Holdout,NA,37.6801568290449,0.773290611529545,BELA ADILABAD
11-28-532-04308-569097,0,0,1,Holdout,NA,37.82700080803104,0.7763042155021829,BELA ADILABAD
11-28-532-04308-569098,0,0,0,Holdout,NA,28.762006051338727,0.5902679585216568,BELA ADILABAD
11-28-532-04308-569099,1,0,1,Holdout,NA,7.271557611765902,0.14923046254521927,BELA ADILABAD
11-28-532-04308-569100,0,0,0,Holdout,NA,-1.6029680612898067,-0.03289689472368747,BELA ADILABAD
11-28-532-04308-569102,0,0,0,Holdout,NA,23.361459069697005,0.4794352914238214,BELA ADILABAD
11-28-532-04308-569103,1,1,1,Holdout,NA,14.704635144028543,0.30177571591420843,BELA ADILABAD
11-28-532-04308-569104,1,1,1,Holdout,NA,-4.7715397402591995,-0.0979238727806561,BELA ADILABAD
11-28-532-04308-569105,1,0,1,Holdout,NA,6.200895093602749,0.12725780258075878,BELA ADILABAD
11-28-532-04308-569106,1,0,0,Holdout,NA,12.663100980125469,0.2598783530867224,BELA ADILABAD
11-28-532-04308-569107,0,1,1,Holdout,NA,-10.949673252343215,-0.22471455105055127,BELA ADILABAD
11-28-532-04308-569108,1,0,0,Holdout,NA,-2.509361634970279,-0.05149834704931964,BELA ADILABAD
11-28-532-04308-569109,1,1,1,Holdout,NA,8.72211942272343,0.1789996016426476,BELA ADILABAD
11-28-532-04308-569110,1,1,1,Holdout,NA,9.722377906924237,0.1995273955805706,BELA ADILABAD
11-28-532-04308-569111,0,1,1,Holdout,NA,-9.033739107490552,-0.1853948132573844,BELA ADILABAD
11-28-532-04308-569112,1,1,1,Holdout,NA,5.332451432579907,0.10943517692773458,BELA ADILABAD
11-28-532-04308-569113,1,1,1,Holdout,NA,-12.688660015060384,-0.26040288810510354,BELA ADILABAD
11-28-532-04308-569114,0,1,1,Holdout,NA,-19.373612415607223,-0.3975947515391761,BELA ADILABAD
11-28-532-04308-569115,0,1,1,Holdout,NA,4.3488278790092645,0.08924877317399027,BELA ADILABAD
11-28-532-04308-569116,0,0,1,Holdout,NA,0.6591852030592698,0.01352812120972934,BELA ADILABAD
11-28-532-04308-569117,0,0,1,Holdout,NA,35.71035916433848,0.7328654602319753,BELA ADILABAD
11-28-532-04308-569118,1,1,1,Holdout,NA,36.12446215374393,0.7413638843591996,BELA ADILABAD
11-28-532-04308-569119,0,0,0,Holdout,NA,5.196273550611868,0.10664046781594312,BELA ADILABAD
11-28-532-04309-569120,1,0,0,Holdout,NA,-7.657014186661877,-0.15714099094009135,TALAMADUGU ADILABAD
11-28-532-04309-569121,0,0,0,Holdout,NA,54.01569775171927,1.1085365736701165,TALAMADUGU ADILABAD
11-28-532-04309-569122,0,0,0,Holdout,NA,53.9065958580988,1.1062975312367322,TALAMADUGU ADILABAD
11-28-532-04309-569123,1,0,0,Holdout,NA,56.76380683398118,1.1649346126276965,TALAMADUGU ADILABAD
11-28-532-04309-569124,1,0,0,Holdout,NA,29.537470250059343,0.6061824141638824,TALAMADUGU ADILABAD
