shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled,clusters
11-28-532-04312-569217,1,0,1,Holdout,NA,37.88775756353444,0.7775510953607497,NARNOOR ADILABAD
11-28-532-04312-569218,1,0,0,Holdout,NA,-3.2454880046051233,-0.06660549251903189,NARNOOR ADILABAD
11-28-532-04312-569219,0,0,0,Holdout,NA,29.010561500248667,0.5953689350371901,NARNOOR ADILABAD
11-28-532-04312-569220,1,0,0,Holdout,NA,53.80234799935663,1.1041581056817078,NARNOOR ADILABAD
11-28-532-04312-569221,1,0,1,Holdout,NA,15.296705999180991,0.31392648364394193,NARNOOR ADILABAD
11-28-532-04312-569222,1,1,1,Holdout,NA,43.5734609959628,0.8942358826397947,NARNOOR ADILABAD
11-28-532-04312-569223,1,1,1,Holdout,NA,49.41173495515465,1.014051796906384,NARNOOR ADILABAD
11-28-532-04312-569224,1,0,0,Holdout,NA,39.83820477813132,0.8175791272549564,NARNOOR ADILABAD
11-28-532-04312-569225,1,1,1,Holdout,NA,7.073318769511667,0.14516210804629315,NARNOOR ADILABAD
11-28-532-04312-569226,1,0,0,Holdout,NA,11.483728152118584,0.2356746869627062,NARNOOR ADILABAD
11-28-532-04312-569227,1,0,0,Holdout,NA,20.710714508407985,0.42503541479624424,NARNOOR ADILABAD
11-28-532-04312-569228,1,1,1,Holdout,NA,3.9613888339242256,0.0812975595560764,NARNOOR ADILABAD
11-28-532-04312-569229,0,1,1,Holdout,NA,10.27183377745949,0.21080359774879484,NARNOOR ADILABAD
11-28-532-04312-569230,1,0,0,Holdout,NA,56.4830568554859,1.1591729242264908,NARNOOR ADILABAD
11-28-532-04312-569231,1,0,1,Holdout,NA,15.396199790001578,0.3159683438913955,NARNOOR ADILABAD
11-28-532-04312-569232,1,0,1,Holdout,NA,65.33255969367096,1.3407867506370437,NARNOOR ADILABAD
11-28-532-04312-569233,1,0,1,Holdout,NA,64.41052444694533,1.3218642922452928,NARNOOR ADILABAD
11-28-532-04312-569234,1,1,1,Holdout,NA,35.91421337852458,0.7370490561407198,NARNOOR ADILABAD
11-28-532-04312-569235,1,1,1,Holdout,NA,18.7643470782503,0.3850911102341239,NARNOOR ADILABAD
11-28-532-04312-569236,1,0,0,Holdout,NA,22.428101219214977,0.4602804650187784,NARNOOR ADILABAD
11-28-532-04312-569237,0,0,0,Holdout,NA,19.87608211443131,0.40790668050596945,NARNOOR ADILABAD
11-28-532-04312-569238,1,0,0,Holdout,NA,-43.50069694688536,-0.892742583228549,NARNOOR ADILABAD
11-28-532-04312-569239,1,0,0,Holdout,NA,15.817994269265554,0.3246246165361634,NARNOOR ADILABAD
11-28-532-04312-569240,0,0,0,Holdout,NA,44.39579133372584,0.9111121481143032,NARNOOR ADILABAD
11-28-532-04312-569242,0,0,0,Holdout,NA,-40.992788504588674,-0.8412740593101768,NARNOOR ADILABAD
11-28-532-04312-569243,1,0,0,Holdout,NA,38.2183830243259,0.784336352808659,NARNOOR ADILABAD
11-28-532-04312-569244,1,0,0,Holdout,NA,29.528019199978836,0.6059884550906887,NARNOOR ADILABAD
